customer_id,customer_name,email,phone,city,state,pincode,signup_date,signup_channel,customer_segment,is_active
CST0001,Veda Ratta,shahvasana@example.org,+915715364107,Madanapalle,Tamil Nadu,128026,2024-04-03,email,Premium,True
CST0002,Onveer More,vwalla@example.org,0906699032,Bharatpur,Arunachal Pradesh,997695,2025-02-22,social,Premium,True
CST0003,Vedhika Goyal,christopheragate@example.org,01365957295,Kota,Himachal Pradesh,563270,2026-02-27,referral,Regular,True
CST0004,Owen Aurora,vivaansrinivasan@example.com,+912478471358,Kota,Goa,160147,2024-12-10,email,VIP,True
CST0005,Ekalinga Sarkar,banjeetrama@example.net,08367567096,Ambala,Nagaland,333674,2026-01-21,paid_search,Regular,True
CST0006,Yachana Choudhry,saumya43@example.com,+916958813887,Bhiwandi,Sikkim,184401,2025-11-15,email,Premium,True
CST0007,Ayaan Bose,urvashioak@example.net,06036415727,Vasai-Virar,Arunachal Pradesh,019030,2026-06-23,organic,Premium,True
CST0008,Urvi Ravi,hayeryash@example.org,1269280144,Purnia,Jharkhand,847193,2025-11-29,organic,VIP,True
CST0009,Baghyawati Wadhwa,fariq47@example.com,+917652821108,Berhampur,Kerala,916480,2025-09-06,organic,Regular,True
CST0010,Dayamai Bhat,jalsabhatia@example.com,7668993603,Danapur,Meghalaya,778427,2024-07-27,paid_search,VIP,True
CST0011,Bhavya Shetty,tlad@example.net,08003006521,Haldia,Mizoram,905287,2025-01-11,social,VIP,False
CST0012,Quincy Behl,veda68@example.com,+915663143105,Ongole,Haryana,511125,2024-02-12,email,Premium,True
CST0013,Advik Natt,sbajaj@example.net,2341090062,Vijayanagaram,Punjab,136653,2024-08-17,social,Regular,True
CST0014,Banjeet Vala,kashvi84@example.org,+916796640295,Davanagere,Gujarat,299421,2024-01-05,referral,Premium,True
CST0015,Warinder Ben,zbakshi@example.net,6939765263,Darbhanga,Arunachal Pradesh,461634,2024-09-07,organic,Regular,True
CST0016,Naveen Behl,rhayre@example.com,5196184842,Asansol,Madhya Pradesh,781393,2024-06-26,organic,VIP,True
CST0017,Farhan Suresh,gaurimital@example.com,+910643781552,Buxar,Goa,977402,2025-05-15,referral,Regular,False
CST0018,Tamanna Kari,ocherian@example.org,08603206135,Nagpur,Meghalaya,732160,2023-12-31,paid_search,Premium,True
CST0019,Anya Dewan,ubath@example.net,1486261017,Bhatpara,Tamil Nadu,794564,2024-09-15,social,VIP,True
CST0020,Praneel Vasa,lmallick@example.com,5080180039,Latur,Telangana,348094,2023-10-19,referral,VIP,False
CST0021,Balendra Batta,haldermanbir@example.net,09386263237,Haldia,Chhattisgarh,829846,2026-02-17,organic,Premium,True
CST0022,Siddharth Modi,gollanachiket@example.org,9210201611,Thanjavur,Uttar Pradesh,843131,2024-01-17,referral,VIP,True
CST0023,Finn Warrior,ebal@example.net,+912712843557,Tirupati,Jharkhand,350615,2025-09-16,referral,VIP,True
CST0024,Netra Bhargava,ishaan54@example.org,00579308324,Sangli-Miraj & Kupwad,Karnataka,636063,2025-12-26,paid_search,VIP,True
CST0025,Gaurika Vohra,jeevikaguha@example.net,0142894361,Gandhidham,Goa,047801,2024-09-26,social,Regular,False
CST0026,Nidra Kumar,bhasinyashasvi@example.org,01238349685,Kanpur,Gujarat,384163,2024-04-11,paid_search,VIP,True
CST0027,Abha Goel,ramavamakshi@example.com,01517454542,Sambalpur,Chhattisgarh,014243,2025-05-25,referral,Premium,True
CST0028,Chavvi Karnik,jaimuni@example.net,9321967065,Howrah,Kerala,177726,2025-06-02,referral,Premium,True
